City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
297,Rudnya,100,RU,1579550006,83,54.95,31.09,33.22,17.36
298,Villa Carlos Paz,75,AR,1579549820,78,-31.42,-64.5,87.01,9.17
299,Souillac,40,MU,1579550006,83,-20.52,57.52,81,3.36
300,Sojitra,40,IN,1579550006,82,22.55,72.72,57.2,6.8
301,Longyearbyen,40,SJ,1579549761,67,78.22,15.64,21.2,25.28
302,Xichang,0,CN,1579550006,87,27.9,102.26,30.07,5.7
303,Borovskoy,95,KZ,1579550007,96,53.8,64.15,15.46,4.27
304,Batsfjord,20,NO,1579550007,96,70.63,29.72,32,27.51
305,Saint-Martin-Boulogne,0,FR,1579549954,93,50.73,1.62,42.01,6.91
306,Guadalupe Victoria,90,MX,1579550007,27,32.29,-115.11,66.2,2.24
307,Cuamba,100,MZ,1579550007,98,-14.8,36.54,69.49,3.44
308,Castro,56,BR,1579550007,65,-24.79,-50.01,76.44,5.55
309,Muros,20,ES,1579550007,56,42.78,-9.06,48,10.29
310,Viedma,0,AR,1579549971,20,-40.81,-63,82.24,15.48
311,Olden,75,NO,1579550007,81,61.84,6.81,48.99,13.87
312,Asau,75,RO,1579549882,87,46.43,26.4,32,11.41
313,Tautira,40,PF,1579549626,70,-17.73,-149.15,86,13.87
314,Limot,75,PH,1579550008,83,7.04,126.27,77,11.41
315,Taoudenni,33,ML,1579549784,14,22.68,-3.98,67.1,8.68
316,Codrington,100,AU,1579550008,70,-38.27,141.97,57.34,7.94
317,Saedinenie,0,BG,1579550008,66,42.27,24.55,32,10.29
318,Mae Sot,10,TH,1579550008,63,16.72,98.57,67.86,2.64
319,Pandan,0,PH,1579549883,69,14.05,124.17,77.76,18.84
320,Salalah,20,OM,1579549733,64,17.02,54.09,73.4,4.7
321,Kirakira,21,SB,1579550008,78,-10.45,161.92,79.74,2.1
322,Tomatlan,0,MX,1579550008,32,19.93,-105.25,92.52,7.23
323,Sorsk,51,RU,1579550008,82,54,90.25,-12.89,4.25
324,Strelka,100,RU,1579550009,92,58.07,93.03,-1.55,11.18
325,Alpine,1,US,1579550009,34,32.84,-116.77,66.99,2.86
326,Antigonish,90,CA,1579549745,67,45.62,-62,25,9.17
327,Itacarambi,69,BR,1579550009,64,-15.1,-44.09,81.54,1.88
328,Charyshskoye,100,RU,1579550009,80,51.4,83.56,5.67,2.68
329,Vardo,40,NO,1579550009,86,70.37,31.11,26.6,38.03
330,Kortkeros,75,RU,1579550009,100,61.81,51.58,10.4,2.24
331,Dalkola,0,IN,1579550009,68,25.85,87.85,56.03,6.4
332,Jardim,12,BR,1579550009,44,-21.48,-56.14,92.98,8.12
333,Ketchikan,90,US,1579549799,93,55.34,-131.65,41,9.17
334,Auki,87,SB,1579550009,71,-8.77,160.7,83.21,5.32
335,Porto Velho,40,BR,1579549736,55,-8.76,-63.9,91.4,3.36
336,Pisco,100,PE,1579550010,30,-13.7,-76.22,73.99,11.41
337,George Town,20,MY,1579550010,74,5.41,100.34,84,5.82
338,Pathein,0,MM,1579550010,75,16.78,94.73,74.28,7.38
339,Ekibastuz,100,KZ,1579549916,95,51.67,75.37,13.73,8.43
340,Nuuk,90,GL,1579550010,100,64.18,-51.72,21.2,13.87
341,Omboue,49,GA,1579550010,91,-1.57,9.26,77.16,1.95
342,Faya,5,SA,1579550010,93,18.39,42.45,55.4,5.82
